ID Procesador de Pago;ID Entidad Beneficiaria;Cantidad de Transferencias Exitosas;Cantidad de Transferencias Fallidas;Cantidad de Transferencias Fallidas (Error Conexion);Cantidad de Transferencias que alcanzaron el time-out;Cantidad de incidentes Tipo 1 alertados;Cantidad de incidentes Tipo 2 alertados;Cantidad de Alertas Emitidas a la Entidad Beneficiaria;Tiempo de No Disponibilidad detectado
5400;0002;312;93;87;0;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES
5400;0003;18;2;2;0;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES
5400;0009;2;0;0;0;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES
5400;0011;3;0;0;0;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES
5400;0023;3;0;0;0;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES
5400;0038;9;1;0;0;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES
5400;0049;8;1;0;0;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES
5400;0053;6;0;0;0;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES
5400;0054;1;0;0;0;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES
5400;0094;3;1;0;0;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES
5400;0099;1;0;0;0;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES
5400;0776;2;0;0;0;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES
5400;0801;1;0;0;0;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES
5400;0806;3;0;0;0;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES
5400;0813;3;0;0;0;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES
5400;0922;3;2;0;0;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES
