ID Transaccion;Caso de negocio;ID Entidad Ordenante;Nombre Entidad Ordenante;Nombre Comercial Ordenante;Moneda;Monto;ID Entidad Beneficiaria;Nombre Comercial Beneficiario;Fecha Hora Inicio Transaccion;Fecha Hora Fin Transaccion;Tiempo de Transaccion;Fecha Hora Inicio Transaccion Ordenante;Fecha Hora Fin Transaccion Ordenante;Tiempo de Transaccion Ordenante;Fecha Hora Inicio Transaccion Beneficiario;Fecha Hora Fin Transaccion Beneficiario;Tiempo de Transaccion Beneficiario;Codigo de Respuesta;Codigo de Error;Codigo de Respuesta de Entidad Beneficiaria;ID Procesador de Pago;Indicador Procesador de Pagos;Codigo Error Conexion Procesador de Pagos 
4555346605;0;0921;Tarjetas Peruanas (Ligo);;PEN;5000.00;0003;IBK;20/10/2025 19:06:34.047;20/10/2025 19:06:35.403;1356;20/10/2025 19:06:34.047;20/10/2025 19:06:35.403;1356;20/10/2025 19:06:34.302;20/10/2025 19:06:35.161;859;00;;00;5400;1;
4555349007;0;0054;Banco Falabella;;PEN;49.72;0049;MIB;20/10/2025 19:07:23.228;20/10/2025 19:07:24.664;1436;20/10/2025 19:07:23.228;20/10/2025 19:07:24.664;1436;20/10/2025 19:07:23.512;20/10/2025 19:07:24.404;892;00;;00;5400;1;
4555439017;0;0054;Banco Falabella;;PEN;176.23;0813;CTAC;20/10/2025 19:36:20.990;20/10/2025 19:36:21.773;783;20/10/2025 19:36:20.990;20/10/2025 19:36:21.773;783;20/10/2025 19:36:21.173;20/10/2025 19:36:21.617;444;00;;00;5400;1;
4555452637;0;0054;Banco Falabella;;PEN;396.11;0813;CTAC;20/10/2025 19:40:39.360;20/10/2025 19:40:40.258;898;20/10/2025 19:40:39.360;20/10/2025 19:40:40.258;898;20/10/2025 19:40:39.615;20/10/2025 19:40:40.003;388;00;;00;5400;1;
4555456087;0;0054;Banco Falabella;;PEN;211.55;0813;CTAC;20/10/2025 19:41:51.784;20/10/2025 19:41:52.755;971;20/10/2025 19:41:51.784;20/10/2025 19:41:52.755;971;20/10/2025 19:41:51.978;20/10/2025 19:41:52.512;534;00;;00;5400;1;
4555469078;0;0054;Banco Falabella;;PEN;426.87;0094;FOH;20/10/2025 19:45:57.551;20/10/2025 19:46:01.075;3524;20/10/2025 19:45:57.551;20/10/2025 19:46:01.075;3524;20/10/2025 19:45:57.728;20/10/2025 19:46:00.831;3103;00;;00;5400;1;
4555825319;0;0038;Banbif;;PEN;10.00;0002;BCP;20/10/2025 21:40:46.820;20/10/2025 21:40:57.324;10504;20/10/2025 21:40:46.820;20/10/2025 21:40:57.324;10504;20/10/2025 21:40:46.981;;;05;DS24;;5400;2;
4555827847;0;0038;Banbif;;PEN;10.00;0002;BCP;20/10/2025 21:41:30.194;20/10/2025 21:41:40.920;10726;20/10/2025 21:41:30.194;20/10/2025 21:41:40.920;10726;20/10/2025 21:41:30.472;;;05;DS24;;5400;2;
4555832532;0;0038;Banbif;;PEN;10.00;0002;BCP;20/10/2025 21:42:59.296;20/10/2025 21:43:10.049;10753;20/10/2025 21:42:59.296;20/10/2025 21:43:10.049;10753;20/10/2025 21:42:59.582;;;05;DS24;;5400;2;
4553142299;0;0049;Mibanco;;PEN;1.00;0002;BCP;20/10/2025 07:54:56.579;20/10/2025 07:55:06.912;10333;20/10/2025 07:54:56.579;20/10/2025 07:55:06.912;10333;20/10/2025 07:54:56.740;;;05;DS24;;5400;2;
4553141220;0;0049;Mibanco;;PEN;1.00;0002;BCP;20/10/2025 07:54:33.195;20/10/2025 07:54:43.334;10139;20/10/2025 07:54:33.195;20/10/2025 07:54:43.334;10139;20/10/2025 07:54:33.361;;;05;DS24;;5400;2;
4553140269;0;0049;Mibanco;;PEN;1.00;0002;BCP;20/10/2025 07:54:13.065;20/10/2025 07:54:20.443;7378;20/10/2025 07:54:13.065;20/10/2025 07:54:20.443;7378;20/10/2025 07:54:13.367;20/10/2025 07:54:20.164;6797;00;;00;5400;1;
4553146063;0;0049;Mibanco;;PEN;1.00;0002;BCP;20/10/2025 07:56:04.908;20/10/2025 07:56:05.578;670;20/10/2025 07:56:04.908;20/10/2025 07:56:05.578;670;20/10/2025 07:56:05.043;20/10/2025 07:56:05.369;326;00;;00;5400;1;
4553148754;0;0049;Mibanco;;PEN;1.00;0002;BCP;20/10/2025 07:56:52.284;20/10/2025 07:56:53.002;718;20/10/2025 07:56:52.284;20/10/2025 07:56:53.002;718;20/10/2025 07:56:52.536;20/10/2025 07:56:52.845;309;00;;00;5400;1;
4553144969;0;0049;Mibanco;;PEN;1.00;0002;BCP;20/10/2025 07:55:43.045;20/10/2025 07:55:53.514;10469;20/10/2025 07:55:43.045;20/10/2025 07:55:53.514;10469;20/10/2025 07:55:43.294;;;05;DS24;;5400;2;
4553147661;0;0049;Mibanco;;PEN;1.00;0002;BCP;20/10/2025 07:56:24.496;20/10/2025 07:56:25.243;747;20/10/2025 07:56:24.496;20/10/2025 07:56:25.243;747;20/10/2025 07:56:24.675;20/10/2025 07:56:24.974;299;00;;00;5400;1;
4553147430;0;0049;Mibanco;;PEN;1.00;0002;BCP;20/10/2025 07:56:21.115;20/10/2025 07:56:27.805;6690;20/10/2025 07:56:21.115;20/10/2025 07:56:27.805;6690;20/10/2025 07:56:21.352;20/10/2025 07:56:27.671;6319;00;;00;5400;1;
4553148324;0;0049;Mibanco;;PEN;1.00;0002;BCP;20/10/2025 07:56:41.920;20/10/2025 07:56:42.608;688;20/10/2025 07:56:41.920;20/10/2025 07:56:42.608;688;20/10/2025 07:56:42.165;20/10/2025 07:56:42.467;302;00;;00;5400;1;
4553152389;0;0049;Mibanco;;PEN;1.00;0002;BCP;20/10/2025 07:57:55.215;20/10/2025 07:57:55.923;708;20/10/2025 07:57:55.215;20/10/2025 07:57:55.923;708;20/10/2025 07:57:55.394;20/10/2025 07:57:55.650;256;00;;00;5400;1;
4553150845;0;0049;Mibanco;;PEN;1.00;0002;BCP;20/10/2025 07:57:21.596;20/10/2025 07:57:28.441;6845;20/10/2025 07:57:21.596;20/10/2025 07:57:28.441;6845;20/10/2025 07:57:21.810;20/10/2025 07:57:28.186;6376;00;;00;5400;1;
4553151916;0;0049;Mibanco;;PEN;1.00;0002;BCP;20/10/2025 07:57:44.390;20/10/2025 07:57:44.986;596;20/10/2025 07:57:44.390;20/10/2025 07:57:44.986;596;20/10/2025 07:57:44.529;20/10/2025 07:57:44.827;298;00;;00;5400;1;
4553148770;0;0049;Mibanco;;PEN;1.00;0002;BCP;20/10/2025 07:56:53.874;20/10/2025 07:57:00.892;7018;20/10/2025 07:56:53.874;20/10/2025 07:57:00.892;7018;20/10/2025 07:56:54.309;20/10/2025 07:57:00.652;6343;00;;00;5400;1;
4553158379;0;0049;Mibanco;;PEN;1.00;0002;BCP;20/10/2025 07:59:34.480;20/10/2025 07:59:35.136;656;20/10/2025 07:59:34.480;20/10/2025 07:59:35.136;656;20/10/2025 07:59:34.676;20/10/2025 07:59:35.006;330;00;;00;5400;1;
4553158869;0;0049;Mibanco;;PEN;1.00;0002;BCP;20/10/2025 07:59:45.183;20/10/2025 07:59:55.502;10319;20/10/2025 07:59:45.183;20/10/2025 07:59:55.502;10319;20/10/2025 07:59:45.332;;;05;DS24;;5400;2;
4553158629;0;0049;Mibanco;;PEN;1.00;0002;BCP;20/10/2025 07:59:39.691;20/10/2025 07:59:40.269;578;20/10/2025 07:59:39.691;20/10/2025 07:59:40.269;578;20/10/2025 07:59:39.851;20/10/2025 07:59:40.072;221;00;;00;5400;1;
4553158384;0;0049;Mibanco;;PEN;1.00;0002;BCP;20/10/2025 07:59:34.875;20/10/2025 07:59:35.387;512;20/10/2025 07:59:34.875;20/10/2025 07:59:35.387;512;20/10/2025 07:59:35.021;20/10/2025 07:59:35.243;222;00;;00;5400;1;
4553158662;0;0049;Mibanco;;PEN;1.00;0002;BCP;20/10/2025 07:59:42.127;20/10/2025 07:59:48.823;6696;20/10/2025 07:59:42.127;20/10/2025 07:59:48.823;6696;20/10/2025 07:59:42.285;20/10/2025 07:59:48.548;6263;00;;00;5400;1;
4553161634;0;0049;Mibanco;;PEN;1.00;0002;BCP;20/10/2025 08:00:24.431;20/10/2025 08:00:25.110;679;20/10/2025 08:00:24.431;20/10/2025 08:00:25.110;679;20/10/2025 08:00:24.643;20/10/2025 08:00:24.942;299;00;;00;5400;1;
4553159174;0;0049;Mibanco;;PEN;1.00;0002;BCP;20/10/2025 07:59:53.900;20/10/2025 07:59:54.603;703;20/10/2025 07:59:53.900;20/10/2025 07:59:54.603;703;20/10/2025 07:59:54.153;20/10/2025 07:59:54.373;220;00;;00;5400;1;
4553160010;0;0049;Mibanco;;PEN;1.00;0002;BCP;20/10/2025 08:00:06.223;20/10/2025 08:00:16.520;10297;20/10/2025 08:00:06.223;20/10/2025 08:00:16.520;10297;20/10/2025 08:00:06.358;;;05;DS24;;5400;2;
4553160015;0;0049;Mibanco;;PEN;1.00;0002;BCP;20/10/2025 08:00:06.642;20/10/2025 08:00:07.255;613;20/10/2025 08:00:06.642;20/10/2025 08:00:07.255;613;20/10/2025 08:00:06.888;20/10/2025 08:00:07.098;210;00;;00;5400;1;
4553162864;0;0049;Mibanco;;PEN;1.00;0002;BCP;20/10/2025 08:00:52.019;20/10/2025 08:00:52.711;692;20/10/2025 08:00:52.019;20/10/2025 08:00:52.711;692;20/10/2025 08:00:52.296;20/10/2025 08:00:52.562;266;00;;00;5400;1;
4553161947;0;0049;Mibanco;;PEN;1.00;0002;BCP;20/10/2025 08:00:33.607;20/10/2025 08:00:34.426;819;20/10/2025 08:00:33.607;20/10/2025 08:00:34.426;819;20/10/2025 08:00:33.856;20/10/2025 08:00:34.171;315;00;;00;5400;1;
4553162415;0;0049;Mibanco;;PEN;1.00;0002;BCP;20/10/2025 08:00:42.619;20/10/2025 08:00:49.481;6862;20/10/2025 08:00:42.619;20/10/2025 08:00:49.481;6862;20/10/2025 08:00:42.766;20/10/2025 08:00:49.234;6468;00;;00;5400;1;
4553163399;0;0049;Mibanco;;PEN;1.00;0002;BCP;20/10/2025 08:01:00.224;20/10/2025 08:01:06.906;6682;20/10/2025 08:01:00.224;20/10/2025 08:01:06.906;6682;20/10/2025 08:01:00.502;20/10/2025 08:01:06.762;6260;00;;00;5400;1;
4553164041;0;0049;Mibanco;;PEN;1.00;0002;BCP;20/10/2025 08:01:09.581;20/10/2025 08:01:10.257;676;20/10/2025 08:01:09.581;20/10/2025 08:01:10.257;676;20/10/2025 08:01:09.839;20/10/2025 08:01:10.027;188;00;;00;5400;1;
4553163630;0;0049;Mibanco;;PEN;1.00;0002;BCP;20/10/2025 08:01:05.528;20/10/2025 08:01:06.226;698;20/10/2025 08:01:05.528;20/10/2025 08:01:06.226;698;20/10/2025 08:01:05.786;20/10/2025 08:01:06.070;284;00;;00;5400;1;
4553164459;0;0049;Mibanco;;PEN;1.00;0002;BCP;20/10/2025 08:01:17.281;20/10/2025 08:01:23.851;6570;20/10/2025 08:01:17.281;20/10/2025 08:01:23.851;6570;20/10/2025 08:01:17.451;20/10/2025 08:01:23.692;6241;00;;00;5400;1;
4553164912;0;0049;Mibanco;;PEN;1.00;0002;BCP;20/10/2025 08:01:23.721;20/10/2025 08:01:24.326;605;20/10/2025 08:01:23.721;20/10/2025 08:01:24.326;605;20/10/2025 08:01:23.917;20/10/2025 08:01:24.150;233;00;;00;5400;1;
4553164873;0;0049;Mibanco;;PEN;1.00;0002;BCP;20/10/2025 08:01:20.666;20/10/2025 08:01:21.362;696;20/10/2025 08:01:20.666;20/10/2025 08:01:21.362;696;20/10/2025 08:01:20.800;20/10/2025 08:01:21.136;336;00;;00;5400;1;
4553166821;0;0049;Mibanco;;PEN;1.00;0002;BCP;20/10/2025 08:01:58.125;20/10/2025 08:01:58.766;641;20/10/2025 08:01:58.125;20/10/2025 08:01:58.766;641;20/10/2025 08:01:58.328;20/10/2025 08:01:58.637;309;00;;00;5400;1;
4553169047;0;0049;Mibanco;;PEN;1.00;0002;BCP;20/10/2025 08:02:24.281;20/10/2025 08:02:34.821;10540;20/10/2025 08:02:24.281;20/10/2025 08:02:34.821;10540;20/10/2025 08:02:24.525;;;05;DS24;;5400;2;
4553167346;0;0049;Mibanco;;PEN;1.00;0002;BCP;20/10/2025 08:02:07.602;20/10/2025 08:02:08.322;720;20/10/2025 08:02:07.602;20/10/2025 08:02:08.322;720;20/10/2025 08:02:07.852;20/10/2025 08:02:08.074;222;00;;00;5400;1;
4553168149;0;0049;Mibanco;;PEN;1.00;0002;BCP;20/10/2025 08:02:16.558;20/10/2025 08:02:17.295;737;20/10/2025 08:02:16.558;20/10/2025 08:02:17.295;737;20/10/2025 08:02:16.732;20/10/2025 08:02:17.034;302;00;;00;5400;1;
4553167095;0;0049;Mibanco;;PEN;1.00;0002;BCP;20/10/2025 08:02:01.874;20/10/2025 08:02:02.699;825;20/10/2025 08:02:01.874;20/10/2025 08:02:02.699;825;20/10/2025 08:02:02.022;20/10/2025 08:02:02.437;415;00;;00;5400;1;
4553167788;0;0049;Mibanco;;PEN;1.00;0002;BCP;20/10/2025 08:02:13.369;20/10/2025 08:02:14.005;636;20/10/2025 08:02:13.369;20/10/2025 08:02:14.005;636;20/10/2025 08:02:13.653;20/10/2025 08:02:13.845;192;00;;00;5400;1;
4553169537;0;0049;Mibanco;;PEN;1.00;0002;BCP;20/10/2025 08:02:34.860;20/10/2025 08:02:41.536;6676;20/10/2025 08:02:34.860;20/10/2025 08:02:41.536;6676;20/10/2025 08:02:35.018;20/10/2025 08:02:41.296;6278;00;;00;5400;1;
4553169088;0;0049;Mibanco;;PEN;1.00;0002;BCP;20/10/2025 08:02:27.156;20/10/2025 08:02:27.731;575;20/10/2025 08:02:27.156;20/10/2025 08:02:27.731;575;20/10/2025 08:02:27.282;20/10/2025 08:02:27.585;303;00;;00;5400;1;
4553170067;0;0049;Mibanco;;PEN;1.00;0002;BCP;20/10/2025 08:02:45.766;20/10/2025 08:02:46.283;517;20/10/2025 08:02:45.766;20/10/2025 08:02:46.283;517;20/10/2025 08:02:45.932;20/10/2025 08:02:46.135;203;00;;00;5400;1;
4553169570;0;0049;Mibanco;;PEN;1.00;0002;BCP;20/10/2025 08:02:38.119;20/10/2025 08:02:44.721;6602;20/10/2025 08:02:38.119;20/10/2025 08:02:44.721;6602;20/10/2025 08:02:38.284;20/10/2025 08:02:44.480;6196;00;;00;5400;1;
4553171663;0;0049;Mibanco;;PEN;1.00;0002;BCP;20/10/2025 08:03:11.664;20/10/2025 08:03:12.364;700;20/10/2025 08:03:11.664;20/10/2025 08:03:12.364;700;20/10/2025 08:03:11.932;20/10/2025 08:03:12.138;206;00;;00;5400;1;
4553170352;0;0049;Mibanco;;PEN;1.00;0002;BCP;20/10/2025 08:02:52.285;20/10/2025 08:02:58.956;6671;20/10/2025 08:02:52.285;20/10/2025 08:02:58.956;6671;20/10/2025 08:02:52.433;20/10/2025 08:02:58.741;6308;00;;00;5400;1;
4553170902;0;0049;Mibanco;;PEN;1.00;0002;BCP;20/10/2025 08:03:01.362;20/10/2025 08:03:02.041;679;20/10/2025 08:03:01.362;20/10/2025 08:03:02.041;679;20/10/2025 08:03:01.511;20/10/2025 08:03:01.790;279;00;;00;5400;1;
4553170887;0;0049;Mibanco;;PEN;1.00;0002;BCP;20/10/2025 08:02:59.923;20/10/2025 08:03:06.694;6771;20/10/2025 08:02:59.923;20/10/2025 08:03:06.694;6771;20/10/2025 08:03:00.092;20/10/2025 08:03:06.431;6339;00;;00;5400;1;
4553171192;0;0049;Mibanco;;PEN;1.00;0002;BCP;20/10/2025 08:03:08.554;20/10/2025 08:03:09.193;639;20/10/2025 08:03:08.554;20/10/2025 08:03:09.193;639;20/10/2025 08:03:08.773;20/10/2025 08:03:09.044;271;00;;00;5400;1;
4553172487;0;0049;Mibanco;;PEN;1.00;0002;BCP;20/10/2025 08:03:21.749;20/10/2025 08:03:32.102;10353;20/10/2025 08:03:21.749;20/10/2025 08:03:32.102;10353;20/10/2025 08:03:21.970;;;05;DS24;;5400;2;
4553172084;0;0049;Mibanco;;PEN;1.00;0002;BCP;20/10/2025 08:03:19.002;20/10/2025 08:03:25.686;6684;20/10/2025 08:03:19.002;20/10/2025 08:03:25.686;6684;20/10/2025 08:03:19.273;20/10/2025 08:03:25.543;6270;00;;00;5400;1;
4553172039;0;0049;Mibanco;;PEN;1.00;0002;BCP;20/10/2025 08:03:16.372;20/10/2025 08:03:17.117;745;20/10/2025 08:03:16.372;20/10/2025 08:03:17.117;745;20/10/2025 08:03:16.629;20/10/2025 08:03:16.873;244;00;;00;5400;1;
